Match,TeamInnings,Battingposition,batsmanName,Runs,Balls,Fours,Sixes,SR,Out_Status,Matchlink
SRH vs KKR,SRH,1,Abhishek Sharma,2,5,0,0,40.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,2,Travis Head,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,3,Rahul Tripathi,9,13,1,0,69.23,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,4,Aiden Markram,20,23,3,0,86.95,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,5,Nitish Kumar Reddy,13,10,1,1,130.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,6,Heinrich Klaasen ,16,17,1,0,94.11,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,7,Shahbaz Ahmed,8,7,0,1,114.28,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,8,Abdul Samad,4,4,0,0,100.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,9,Pat Cummins (c),24,19,2,1,126.31,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,10,Jaydev Unadkat,4,11,0,0,36.36,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,SRH,11,Bhuvneshwar Kumar,0,1,0,0,0.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,KKR,1,Rahmanullah Gurbaz ,39,32,5,2,121.87,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,KKR,2,Sunil Narine,6,2,0,1,300.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,KKR,3,Venkatesh Iyer,52,26,4,3,200.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,KKR,4,Shreyas Iyer (c),6,3,1,0,200.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs RR,SRH,1,Travis Head,34,28,3,1,121.42,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,2,Abhishek Sharma,12,5,1,1,240.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,3,Rahul Tripathi,37,15,5,2,246.66,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,4,Aiden Markram,1,2,0,0,50.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,5,Heinrich Klaasen ,50,34,0,4,147.05,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,6,Nitish Kumar Reddy,5,10,0,0,50.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
SRH vs RR,SRH,7,Abdul Samad,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
