Match,Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dots,Fours,Sixes,WD,NB,Matchlink
KKR vs SRH,SRH,Mitchell Starc,3.0,0,14,2,4.66,11,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,SRH,Vaibhav Arora,3.0,0,24,1,8.0,9,2,1,4,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,SRH,Harshit Rana,4.0,1,24,2,6.0,13,2,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,SRH,Sunil Narine,4.0,0,16,1,4.0,9,0,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,SRH,Andre Russell,2.3,0,19,3,7.6,7,1,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
KKR vs SRH,SRH,Varun Chakravarthy,2.0,0,9,1,4.5,7,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,KKR,Bhuvneshwar Kumar,2.0,0,25,0,12.5,5,2,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,KKR,Pat Cummins,2.0,0,18,1,9.0,7,2,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,KKR,T Natarajan,2.0,0,29,0,14.5,2,4,1,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
SRH vs KKR,KKR,Shahbaz Ahmed,2.3,0,22,1,8.8,7,1,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
