name,image,batting_style,bowling_style,playing_role,description
Ruturaj Dashrat Gaikwad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322236.1.png",Right hand Bat,Right arm Offbreak,Batter,"Ruturaj Gaikwad IPL factfile - Ruturaj Gaikwad made his IPL debut for Chennai Super Kings (CSK) in 2020. Playing six games that season, he scored three fifties and two ducks. - In 2021, he played an instrumental role in CSK winning their fourth IPL title. With 635 runs, he was the highest run-scorer in the tournament, thus winning the orange cap."
Aravelly Avanish,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/384200/384255.1.png",Left hand Bat,,Wicketkeeper Batter,
Mahendra Singh Dhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319946.3.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter,"MS Dhoni IPL factfile - MS Dhoni led India to three ICC titles but he is nearly as famous for his exploits in the yellow of Chennai Super Kings in the Indian Premier League. - Dhoni, known as CSK's ""Thala"" (leader), captained the franchise to ten finals in their first 14 IPL seasons and won them five titles - in 2010, 2011, 2018, 2021 and 2023 . He's led them to the playoffs in 12 editions, making them the most consistent team in the IPL. In a surprise move on the eve of the IPL 2024 season opener, Dhoni stepped down as CSK captain and was succeeded by Ruturaj Gaikwad."
Ajinkya Madhukar Rahane,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316620.3.png",Right hand Bat,Right arm Medium,Top order Batter,"While he might not turn heads like many of his glitzier batting colleagues, Ajinkya Rahane has been a dependable middle-order batter for India, particularly overseas, and will always be remembered for leading the side to a spectacular Test series win in Australia in 2020-21. A top-order batter for Mumbai, Rahane scored over 1000 runs in his second Ranji season, helping the side secure their 38th title win. He made his Test debut in 2013, after months of travelling with the squad, and then in his third match, he scored 51 not out and 96 in Durban. His first Test century followed soon, in a draw in Wellington in February 2014. Five months later, he was in the vanguard for India's first win at Lord's in nearly three decades, setting the game up with a solid 103 in the first innings. He followed it up with his maiden ODI century, at Edgbaston, as India wrapped up the ODI series 3-1."
Shaik Rasheed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345086.1.png",Right hand Bat,Legbreak,Batter,
Sameer Rizvi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378000/378091.1.png",Right hand Bat,Right arm Offbreak,Batter,
Devon Philip Conway,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383148.1.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter,"Eight years into his professional career, Devon Conway scored his maiden first-class double hundred for Gauteng in a three-day match in South Africa in 2017. Four years later he'd score another double, but this time for New Zealand on his Test debut, becoming only the second - but also the oldest - player to do so in the side, where he quickly established himself as an attacking but composed top-order batter with the ability to shift gears quickly to adapt to match situations. After moving to New Zealand at 26, following that 2017 game against Border, Johannesburg-born Conway was handed a contract by Wellington for the 2018-19 domestic season. The next season he was the top run-scorer in all three domestic competitions, including a triple-century against Canterbury in Wellington's Plunket Shield-winning campaign that gave them the title for the first time since 2003-04."
Moeen Munir Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.1.png",Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann. While many critics dismissed him as a ""part-time"" bowler, Moeen had a record to compare with the best in county cricket over recent seasons. And while he suffered more than his share of ups and downs, for the next five years he manfully carried the load in one of the most under-resourced areas of the English game. When he was dropped during the 2019 Ashes, subsequently losing his central contract, it turned out to be the beginning of the end for Moeen as a Test allrounder; nevertheless, on calling time in 2021, he finished just shy of 3000 Test runs and 200 wickets, making him England's third most-prolific spinner of all time."
Shivam Dube,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383700/383773.1.png",Left hand Bat,Right arm Medium,Allrounder,"A tall pace-bowling allrounder from the suburbs of Mumbai who started in the city's robust school cricket circuit, Shivam Dube shot to limelight in domestic cricket and the IPL with his almost unparallel six-hitting ability, especially against spin. Within his first year of white-ball debut in domestic cricket, Dube had started hitting boundaries in the lower order and picking wickets. His Ranji Trophy debut also put him in the spotlight when he bagged a five-for to dismiss five of Karnataka's top six batters, combined with a brisk 71 down the order. But the headline moment came when he smashed five sixes in an over off Pravin Tambe in a Mumbai T20 league game and repeated the feat in a Ranji match against Baroda, just a day before the IPL auction in December 2018. That season, Dube had also taken a seven-for against Karnataka and struck his maiden first-class century. Those shot his value up so much that RCB splurged Rs 5 crore for him. However, he couldn't prove to be the finisher RCB wanted him to be for two seasons and he switched to Rajasthan Royals for the 2020 season."
Rajvardhan S Hangargekar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/374200/374264.png",Right hand Bat,Right arm Fast medium,Bowling Allrounder,
