Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
KKR,SRH,KKR,8 wickets,Chennai,"May 26, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
RR,SRH,SRH,36 runs,Chennai,"May 24, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR,RCB,RR,4 wickets,Ahmedabad,"May 22, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
KKR,SRH,KKR,8 wickets,Ahmedabad,"May 21, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
RR,KKR,no result,-,Guwahati,"May 19, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-kolkata-knight-riders-70th-match-1426308/full-scorecard
SRH,Punjab Kings,SRH,4 wickets,Hyderabad,"May 19, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
RCB,CSK,RCB,27 runs,Bengaluru,"May 18, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
MI,LSG,LSG,18 runs,Wankhede,"May 17, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
RR,Punjab Kings,Punjab Kings,5 wickets,Guwahati,"May 15, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
DC,LSG,DC,19 runs,Delhi,"May 14, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-lucknow-super-giants-64th-match-1426302/full-scorecard
RCB,DC,RCB,47 runs,Bengaluru,"May 12, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-delhi-capitals-62nd-match-1426300/full-scorecard
CSK,RR,CSK,5 wickets,Chennai,"May 12, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-rajasthan-royals-61st-match-1426299/full-scorecard
KKR,MI,KKR,18 runs,Eden Gardens,"May 11, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-mumbai-indians-60th-match-1426298/full-scorecard
GT,CSK,GT,35 runs,Ahmedabad,"May 10, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-chennai-super-kings-59th-match-1426297/full-scorecard
Punjab Kings,RCB,RCB,60 runs,Dharamsala,"May 9, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-royal-challengers-bengaluru-58th-match-1426296/full-scorecard
SRH,LSG,SRH,10 wickets,Hyderabad,"May 8, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295/full-scorecard
DC,RR,DC,20 runs,Delhi,"May 7, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
MI,SRH,MI,7 wickets,Wankhede,"May 6, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
LSG,KKR,KKR,98 runs,Lucknow,"May 5, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
Punjab Kings,CSK,CSK,28 runs,Dharamsala,"May 5, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
RCB,GT,RCB,4 wickets,Bengaluru,"May 4, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
MI,KKR,KKR,24 runs,Wankhede,"May 3, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
SRH,RR,SRH,1 run,Hyderabad,"May 2, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
CSK,Punjab Kings,Punjab Kings,7 wickets,Chennai,"May 1, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
LSG,MI,LSG,4 wickets,Lucknow,"Apr 30, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
KKR,DC,KKR,7 wickets,Eden Gardens,"Apr 29, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
CSK,SRH,CSK,78 runs,Chennai,"Apr 28, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-sunrisers-hyderabad-46th-match-1426284/full-scorecard
GT,RCB,RCB,9 wickets,Ahmedabad,"Apr 28, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-royal-challengers-bengaluru-45th-match-1426283/full-scorecard
